preDexNum,preId,preFormKey,evoDexNum,evoId,evoFormKey,en,es-ES,es-419,fr,it,de,zh-Hans,zh-Hant,pt-BR,ko,ja,ca,eu,da,th,tr,ro,ru,id,hi,tl,nb-NO,sv,uk,vi,pl
507,HERDIER,,508,STOUTLAND,,At Level 32,Al Nv.32,At Level 32,Au N. 32,Al Livello 32,Auf Lv. 32,在等级32,在等級32,No Nível 32,레벨 32,Lv.32で,Al nivell 32,At Level 32,At Level 32,At Level 32,At Level 32,At Level 32,На 32 Ур.,At Level 32,At Level 32,At Level 32,At Level 32,Vid nivå 32,At Level 32,Ở Cấp 32,Na Poziomie 32
509,PURRLOIN,,510,LIEPARD,,At Level 20,Al Nv.20,At Level 20,Au N. 20,Al Livello 20,Auf Lv. 20,在等级20,在等級20,No Nível 20,레벨 20,Lv.20で,Al nivell 20,At Level 20,At Level 20,At Level 20,At Level 20,At Level 20,На 20 Ур.,At Level 20,At Level 20,At Level 20,At Level 20,Vid nivå 20,At Level 20,Ở Cấp 20,Na Poziomie 20
511,PANSAGE,,512,SIMISAGE,,Use the Leaf Stone (Great),Usa Piedra Hoja (Súper),Use the Piedra Hoja (Great),Avec l’objet Pierre Plante (Super),Con l’oggetto Pietrafoglia(Mega),Benötigt Blattstein (Super),使用叶之石 (超级球),使用葉之石 (超級球),Use Pedra da Folha (Super),아이템 사용: 리프의돌 (슈퍼),リーフのいし (スーパー)を 使う,Utilitza l’objecte Leaf Stone (Súper),Use the Leaf Stone (Great),Use the Leaf Stone (Great),Use the Leaf Stone (Great),Use the Yaprak Taşı (Great),Use the Leaf Stone (Great),Используйте Лиственный Камень Мега,Use the Leaf Stone (Great),Use the Leaf Stone (Great),Use the Leaf Stone (Great),Use the Leaf Stone (Great),Använd förmålet Lövsten (Super),Use the Листовий Камінь (Great),Sử dụng vật phẩm Leaf Stone (Great),Use the Leaf Stone (Great)
513,PANSEAR,,514,SIMISEAR,,Use the Fire Stone (Great),Usa Piedra Fuego (Súper),Use the Piedra Fuego (Great),Avec l’objet Pierre Feu (Super),Con l’oggetto Pietrafocaia(Mega),Benötigt Feuerstein (Super),使用火之石 (超级球),使用火之石 (超級球),Use Pedra do Fogo (Super),아이템 사용: 불꽃의돌 (슈퍼),ほのおのいし (スーパー)を 使う,Utilitza l’objecte Fire Stone (Súper),Use the Fire Stone (Great),Use the Fire Stone (Great),Use the Fire Stone (Great),Use the Ateş Taşı (Great),Use the Fire Stone (Great),Используйте Огненный Камень Мега,Use the Batu Api (Great),Use the Fire Stone (Great),Use the Fire Stone (Great),Use the Fire Stone (Great),Använd förmålet Eldsten (Super),Use the Вогняний Камінь (Great),Sử dụng vật phẩm Fire Stone (Great),Use the Fire Stone (Great)
515,PANPOUR,,516,SIMIPOUR,,Use the Water Stone (Great),Usa Piedra Agua (Súper),Use the Piedra Agua (Great),Avec l’objet Pierre Eau (Super),Con l’oggetto Pietraidrica(Mega),Benötigt Wasserstein (Super),使用水之石 (超级球),使用水之石 (超級球),Use Pedra da Água (Super),아이템 사용: 물의돌 (슈퍼),みずのいし (スーパー)を 使う,Utilitza l’objecte Water Stone (Súper),Use the Water Stone (Great),Use the Water Stone (Great),Use the Water Stone (Great),Use the Su Taşı (Great),Use the Water Stone (Great),Используйте Водный Камень Мега,Use the Batu Air (Great),Use the Water Stone (Great),Use the Water Stone (Great),Use the Water Stone (Great),Använd förmålet Vattensten (Super),Use the Водний Камінь (Great),Sử dụng vật phẩm Water Stone (Great),Use the Water Stone (Great)
517,MUNNA,,518,MUSHARNA,,Use the Moon Stone (Great),Usa Piedra Lunar (Súper),Use the Piedra Lunar (Great),Avec l’objet Pierre Lune (Super),Con l’oggetto Pietralunare(Mega),Benötigt Mondstein (Super),使用月之石 (超级球),使用月之石 (超級球),Use Pedra da Lua (Super),아이템 사용: 달의돌 (슈퍼),つきのいし (スーパー)を 使う,Utilitza l’objecte Moon Stone (Súper),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Ay Taşı (Great),Use the Moon Stone (Great),Используйте Лунный Камень Мега,Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Använd förmålet Månsten (Super),Use the Місячний Камінь (Great),Sử dụng vật phẩm Moon Stone (Great),Use the Moon Stone (Great)
519,PIDOVE,,520,TRANQUILL,,At Level 21,Al Nv.21,At Level 21,Au N. 21,Al Livello 21,Auf Lv. 21,在等级21,在等級21,No Nível 21,레벨 21,Lv.21で,Al nivell 21,At Level 21,At Level 21,At Level 21,At Level 21,At Level 21,На 21 Ур.,At Level 21,At Level 21,At Level 21,At Level 21,Vid nivå 21,At Level 21,Ở Cấp 21,Na Poziomie 21
520,TRANQUILL,,521,UNFEZANT,,At Level 32,Al Nv.32,At Level 32,Au N. 32,Al Livello 32,Auf Lv. 32,在等级32,在等級32,No Nível 32,레벨 32,Lv.32で,Al nivell 32,At Level 32,At Level 32,At Level 32,At Level 32,At Level 32,На 32 Ур.,At Level 32,At Level 32,At Level 32,At Level 32,Vid nivå 32,At Level 32,Ở Cấp 32,Na Poziomie 32
522,BLITZLE,,523,ZEBSTRIKA,,At Level 27,Al Nv.27,At Level 27,Au N. 27,Al Livello 27,Auf Lv. 27,在等级27,在等級27,No Nível 27,레벨 27,Lv.27で,Al nivell 27,At Level 27,At Level 27,At Level 27,At Level 27,At Level 27,На 27 Ур.,At Level 27,At Level 27,At Level 27,At Level 27,Vid nivå 27,At Level 27,Ở Cấp 27,Na Poziomie 27
524,ROGGENROLA,,525,BOLDORE,,At Level 25,Al Nv.25,At Level 25,Au N. 25,Al Livello 25,Auf Lv. 25,在等级25,在等級25,No Nível 25,레벨 25,Lv.25で,Al nivell 25,At Level 25,At Level 25,At Level 25,At Level 25,At Level 25,На 25 Ур.,At Level 25,At Level 25,At Level 25,At Level 25,Vid nivå 25,At Level 25,Ở Cấp 25,Na Poziomie 25
525,BOLDORE,,526,GIGALITH,,Use the Linking Cord (Great),Usa Cordón Unión (Súper),Use the Cordón Unión (Great),Avec l’objet Fil de Liaison (Super),Con l’oggetto Filo dell’unione(Mega),Benötigt Linkkabel (Super),使用联系绳 (超级球),使用聯繫繩 (超級球),Use Cabo de Conexão (Super),아이템 사용: 연결의끈 (슈퍼),つながりのヒモ (スーパー)を 使う,Utilitza l’objecte Linking Cord (Súper),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Используйте Соединительный Шнур Мега,Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Använd förmålet Länkande lina (Super),Use the З’єднувальний Шнур (Great),Sử dụng vật phẩm Linking Cord (Great),Use the Linking Cord (Great)
527,WOOBAT,,528,SWOOBAT,,With high friendship,Teniendo suficiente amistad,With high friendship,Bonheur élevé,Con sufficiente amicizia,Mit hoher Zutraulichkeit,高亲密度,高親密度,Tendo amizade alta,특정 친밀도 이상일 때,仲良し度が 高ければ,With high friendship,With high friendship,With high friendship,With high friendship,With high friendship,With high friendship,С высокой дружбой,With high friendship,With high friendship,With high friendship,With high friendship,Med hög vänskap,With high friendship,Với điểm tình bạn cao,With high friendship
529,DRILBUR,,530,EXCADRILL,,At Level 31,Al Nv.31,At Level 31,Au N. 31,Al Livello 31,Auf Lv. 31,在等级31,在等級31,No Nível 31,레벨 31,Lv.31で,Al nivell 31,At Level 31,At Level 31,At Level 31,At Level 31,At Level 31,На 31 Ур.,At Level 31,At Level 31,At Level 31,At Level 31,Vid nivå 31,At Level 31,Ở Cấp 31,Na Poziomie 31
532,TIMBURR,,533,GURDURR,,At Level 25,Al Nv.25,At Level 25,Au N. 25,Al Livello 25,Auf Lv. 25,在等级25,在等級25,No Nível 25,레벨 25,Lv.25で,Al nivell 25,At Level 25,At Level 25,At Level 25,At Level 25,At Level 25,На 25 Ур.,At Level 25,At Level 25,At Level 25,At Level 25,Vid nivå 25,At Level 25,Ở Cấp 25,Na Poziomie 25
533,GURDURR,,534,CONKELDURR,,Use the Linking Cord (Great),Usa Cordón Unión (Súper),Use the Cordón Unión (Great),Avec l’objet Fil de Liaison (Super),Con l’oggetto Filo dell’unione(Mega),Benötigt Linkkabel (Super),使用联系绳 (超级球),使用聯繫繩 (超級球),Use Cabo de Conexão (Super),아이템 사용: 연결의끈 (슈퍼),つながりのヒモ (スーパー)を 使う,Utilitza l’objecte Linking Cord (Súper),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Используйте Соединительный Шнур Мега,Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Använd förmålet Länkande lina (Super),Use the З’єднувальний Шнур (Great),Sử dụng vật phẩm Linking Cord (Great),Use the Linking Cord (Great)
535,TYMPOLE,,536,PALPITOAD,,At Level 25,Al Nv.25,At Level 25,Au N. 25,Al Livello 25,Auf Lv. 25,在等级25,在等級25,No Nível 25,레벨 25,Lv.25で,Al nivell 25,At Level 25,At Level 25,At Level 25,At Level 25,At Level 25,На 25 Ур.,At Level 25,At Level 25,At Level 25,At Level 25,Vid nivå 25,At Level 25,Ở Cấp 25,Na Poziomie 25
536,PALPITOAD,,537,SEISMITOAD,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
540,SEWADDLE,,541,SWADLOON,,At Level 20,Al Nv.20,At Level 20,Au N. 20,Al Livello 20,Auf Lv. 20,在等级20,在等級20,No Nível 20,레벨 20,Lv.20で,Al nivell 20,At Level 20,At Level 20,At Level 20,At Level 20,At Level 20,На 20 Ур.,At Level 20,At Level 20,At Level 20,At Level 20,Vid nivå 20,At Level 20,Ở Cấp 20,Na Poziomie 20
541,SWADLOON,,542,LEAVANNY,,With high friendship,Teniendo suficiente amistad,With high friendship,Bonheur élevé,Con sufficiente amicizia,Mit hoher Zutraulichkeit,高亲密度,高親密度,Tendo amizade alta,특정 친밀도 이상일 때,仲良し度が 高ければ,With high friendship,With high friendship,With high friendship,With high friendship,With high friendship,With high friendship,С высокой дружбой,With high friendship,With high friendship,With high friendship,With high friendship,Med hög vänskap,With high friendship,Với điểm tình bạn cao,With high friendship
543,VENIPEDE,,544,WHIRLIPEDE,,At Level 22,Al Nv.22,At Level 22,Au N. 22,Al Livello 22,Auf Lv. 22,在等级22,在等級22,No Nível 22,레벨 22,Lv.22で,Al nivell 22,At Level 22,At Level 22,At Level 22,At Level 22,At Level 22,На 22 Ур.,At Level 22,At Level 22,At Level 22,At Level 22,Vid nivå 22,At Level 22,Ở Cấp 22,Na Poziomie 22
544,WHIRLIPEDE,,545,SCOLIPEDE,,At Level 30,Al Nv.30,At Level 30,Au N. 30,Al Livello 30,Auf Lv. 30,在等级30,在等級30,No Nível 30,레벨 30,Lv.30で,Al nivell 30,At Level 30,At Level 30,At Level 30,At Level 30,At Level 30,На 30 Ур.,At Level 30,At Level 30,At Level 30,At Level 30,Vid nivå 30,At Level 30,Ở Cấp 30,Na Poziomie 30
546,COTTONEE,,547,WHIMSICOTT,,Use the Sun Stone (Great),Usa Piedra Solar (Súper),Use the Piedra Solar (Great),Avec l’objet Pierre Soleil (Super),Con l’oggetto Pietrasolare(Mega),Benötigt Sonnenstein (Super),使用日之石 (超级球),使用日之石 (超級球),Use Pedra do Sol (Super),아이템 사용: 태양의돌 (슈퍼),たいようのいし (スーパー)を 使う,Utilitza l’objecte Sun Stone (Súper),Use the Sun Stone (Great),Use the Sun Stone (Great),Use the หินพระอาทิตย์ (Great),Use the Güneş Taşı (Great),Use the Sun Stone (Great),Используйте Солнечный Камень Мега,Use the Batu Mentari (Great),Use the सन स्टोन (Great),Use the Sun Stone (Great),Use the Sun Stone (Great),Använd förmålet Solsten (Super),Use the Сонячний Камінь (Great),Sử dụng vật phẩm Sun Stone (Great),Use the Sun Stone (Great)
548,PETILIL,,6549,HISUI_LILLIGANT,,Use the Dawn Stone (Great),Usa Piedra Alba (Súper),Use the Piedra Alba (Great),Avec l’objet Pierre Aube (Super),Con l’oggetto Pietralbore(Mega),Benötigt Funkelstein (Super),使用觉醒之石 (超级球),使用覺醒之石 (超級球),Use Pedra da Alvorada (Super),아이템 사용: 각성의돌 (슈퍼),めざめいし (スーパー)を 使う,Utilitza l’objecte Dawn Stone (Súper),Use the Dawn Stone (Great),Use the Dawn Stone (Great),Use the Dawn Stone (Great),Use the Şafak Taşı (Great),Use the Dawn Stone (Great),Используйте Камень Рассвета Мега,Use the Dawn Stone (Great),Use the Dawn Stone (Great),Use the Dawn Stone (Great),Use the Dawn Stone (Great),Använd förmålet Vaknadsten (Super),Use the Камінь Світанка (Great),Sử dụng vật phẩm Dawn Stone (Great),Use the Dawn Stone (Great)
548,PETILIL,,549,LILLIGANT,,Use the Sun Stone (Great),Usa Piedra Solar (Súper),Use the Piedra Solar (Great),Avec l’objet Pierre Soleil (Super),Con l’oggetto Pietrasolare(Mega),Benötigt Sonnenstein (Super),使用日之石 (超级球),使用日之石 (超級球),Use Pedra do Sol (Super),아이템 사용: 태양의돌 (슈퍼),たいようのいし (スーパー)を 使う,Utilitza l’objecte Sun Stone (Súper),Use the Sun Stone (Great),Use the Sun Stone (Great),Use the หินพระอาทิตย์ (Great),Use the Güneş Taşı (Great),Use the Sun Stone (Great),Используйте Солнечный Камень Мега,Use the Batu Mentari (Great),Use the सन स्टोन (Great),Use the Sun Stone (Great),Use the Sun Stone (Great),Använd förmålet Solsten (Super),Use the Сонячний Камінь (Great),Sử dụng vật phẩm Sun Stone (Great),Use the Sun Stone (Great)
550,BASCULIN,white-striped,902,BASCULEGION,female,(♀ only)|At Level 40,(♀ solo)|Al Nv.40,(♀ only)|At Level 40,(♀ uniquement)|Au N. 40,(Solo ♀)|Al Livello 40,(Nur ♀)|Auf Lv. 40,(仅♀)|在等级40,(僅♀)|在等級40,(somente ♀)|No Nível 40,(♀ 한정)|레벨 40,(♀のみ)|Lv.40で,(només ♀)|Al nivell 40,(♀ only)|At Level 40,(♀ only)|At Level 40,(♀ only)|At Level 40,(♀ only)|At Level 40,(♀ only)|At Level 40,(Только ♀)|На 40 Ур.,(♀ only)|At Level 40,(♀ only)|At Level 40,(♀ only)|At Level 40,(♀ only)|At Level 40,(Endast ♀)|Vid nivå 40,(♀ only)|At Level 40,(chỉ ♀)|Ở Cấp 40,(Tylko ♀)|Na Poziomie 40
550,BASCULIN,white-striped,902,BASCULEGION,male,(♂ only)|At Level 40,(♂ solo)|Al Nv.40,(♂ only)|At Level 40,(♂ uniquement)|Au N. 40,(Solo ♂)|Al Livello 40,(Nur ♂)|Auf Lv. 40,(仅♂)|在等级40,(僅♂)|在等級40,(somente ♂)|No Nível 40,(♂ 한정)|레벨 40,(♂のみ)|Lv.40で,(només ♂)|Al nivell 40,(♂ only)|At Level 40,(♂ only)|At Level 40,(♂ only)|At Level 40,(♂ only)|At Level 40,(♂ only)|At Level 40,(Только ♂)|На 40 Ур.,(♂ only)|At Level 40,(♂ only)|At Level 40,(♂ only)|At Level 40,(♂ only)|At Level 40,(Endast ♂)|Vid nivå 40,(♂ only)|At Level 40,(chỉ ♂)|Ở Cấp 40,(Tylko ♂)|Na Poziomie 40
551,SANDILE,,552,KROKOROK,,At Level 29,Al Nv.29,At Level 29,Au N. 29,Al Livello 29,Auf Lv. 29,在等级29,在等級29,No Nível 29,레벨 29,Lv.29で,Al nivell 29,At Level 29,At Level 29,At Level 29,At Level 29,At Level 29,На 29 Ур.,At Level 29,At Level 29,At Level 29,At Level 29,Vid nivå 29,At Level 29,Ở Cấp 29,Na Poziomie 29
552,KROKOROK,,553,KROOKODILE,,At Level 40,Al Nv.40,At Level 40,Au N. 40,Al Livello 40,Auf Lv. 40,在等级40,在等級40,No Nível 40,레벨 40,Lv.40で,Al nivell 40,At Level 40,At Level 40,At Level 40,At Level 40,At Level 40,На 40 Ур.,At Level 40,At Level 40,At Level 40,At Level 40,Vid nivå 40,At Level 40,Ở Cấp 40,Na Poziomie 40
554,DARUMAKA,,555,DARMANITAN,,At Level 35,Al Nv.35,At Level 35,Au N. 35,Al Livello 35,Auf Lv. 35,在等级35,在等級35,No Nível 35,레벨 35,Lv.35で,Al nivell 35,At Level 35,At Level 35,At Level 35,At Level 35,At Level 35,На 35 Ур.,At Level 35,At Level 35,At Level 35,At Level 35,Vid nivå 35,At Level 35,Ở Cấp 35,Na Poziomie 35
557,DWEBBLE,,558,CRUSTLE,,At Level 34,Al Nv.34,At Level 34,Au N. 34,Al Livello 34,Auf Lv. 34,在等级34,在等級34,No Nível 34,레벨 34,Lv.34で,Al nivell 34,At Level 34,At Level 34,At Level 34,At Level 34,At Level 34,На 34 Ур.,At Level 34,At Level 34,At Level 34,At Level 34,Vid nivå 34,At Level 34,Ở Cấp 34,Na Poziomie 34
559,SCRAGGY,,560,SCRAFTY,,At Level 39,Al Nv.39,At Level 39,Au N. 39,Al Livello 39,Auf Lv. 39,在等级39,在等級39,No Nível 39,레벨 39,Lv.39で,Al nivell 39,At Level 39,At Level 39,At Level 39,At Level 39,At Level 39,На 39 Ур.,At Level 39,At Level 39,At Level 39,At Level 39,Vid nivå 39,At Level 39,Ở Cấp 39,Na Poziomie 39
562,YAMASK,,563,COFAGRIGUS,,At Level 34,Al Nv.34,At Level 34,Au N. 34,Al Livello 34,Auf Lv. 34,在等级34,在等級34,No Nível 34,레벨 34,Lv.34で,Al nivell 34,At Level 34,At Level 34,At Level 34,At Level 34,At Level 34,На 34 Ур.,At Level 34,At Level 34,At Level 34,At Level 34,Vid nivå 34,At Level 34,Ở Cấp 34,Na Poziomie 34
564,TIRTOUGA,,565,CARRACOSTA,,At Level 37,Al Nv.37,At Level 37,Au N. 37,Al Livello 37,Auf Lv. 37,在等级37,在等級37,No Nível 37,레벨 37,Lv.37で,Al nivell 37,At Level 37,At Level 37,At Level 37,At Level 37,At Level 37,На 37 Ур.,At Level 37,At Level 37,At Level 37,At Level 37,Vid nivå 37,At Level 37,Ở Cấp 37,Na Poziomie 37
566,ARCHEN,,567,ARCHEOPS,,At Level 37,Al Nv.37,At Level 37,Au N. 37,Al Livello 37,Auf Lv. 37,在等级37,在等級37,No Nível 37,레벨 37,Lv.37で,Al nivell 37,At Level 37,At Level 37,At Level 37,At Level 37,At Level 37,На 37 Ур.,At Level 37,At Level 37,At Level 37,At Level 37,Vid nivå 37,At Level 37,Ở Cấp 37,Na Poziomie 37
568,TRUBBISH,,569,GARBODOR,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
570,ZORUA,,571,ZOROARK,,At Level 30,Al Nv.30,At Level 30,Au N. 30,Al Livello 30,Auf Lv. 30,在等级30,在等級30,No Nível 30,레벨 30,Lv.30で,Al nivell 30,At Level 30,At Level 30,At Level 30,At Level 30,At Level 30,На 30 Ур.,At Level 30,At Level 30,At Level 30,At Level 30,Vid nivå 30,At Level 30,Ở Cấp 30,Na Poziomie 30
572,MINCCINO,,573,CINCCINO,,Use the Shiny Stone (Great),Usa Piedra Día (Súper),Use the Piedra Día (Great),Avec l’objet Pierre Éclat (Super),Con l’oggetto Pietrabrillo(Mega),Benötigt Leuchtstein (Super),使用光之石 (超级球),使用光之石 (超級球),Use Pedra Brilhante (Super),아이템 사용: 빛의돌 (슈퍼),ひかりのいし (スーパー)を 使う,Utilitza l’objecte Shiny Stone (Súper),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Parlak Taş (Great),Use the Shiny Stone (Great),Используйте Сияющий Камень Мега,Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Använd förmålet Ljussten (Super),Use the Близкучий Камінь (Great),Sử dụng vật phẩm Shiny Stone (Great),Use the Shiny Stone (Great)
574,GOTHITA,,575,GOTHORITA,,At Level 32,Al Nv.32,At Level 32,Au N. 32,Al Livello 32,Auf Lv. 32,在等级32,在等級32,No Nível 32,레벨 32,Lv.32で,Al nivell 32,At Level 32,At Level 32,At Level 32,At Level 32,At Level 32,На 32 Ур.,At Level 32,At Level 32,At Level 32,At Level 32,Vid nivå 32,At Level 32,Ở Cấp 32,Na Poziomie 32
575,GOTHORITA,,576,GOTHITELLE,,At Level 41,Al Nv.41,At Level 41,Au N. 41,Al Livello 41,Auf Lv. 41,在等级41,在等級41,No Nível 41,레벨 41,Lv.41で,Al nivell 41,At Level 41,At Level 41,At Level 41,At Level 41,At Level 41,На 41 Ур.,At Level 41,At Level 41,At Level 41,At Level 41,Vid nivå 41,At Level 41,Ở Cấp 41,Na Poziomie 41
577,SOLOSIS,,578,DUOSION,,At Level 32,Al Nv.32,At Level 32,Au N. 32,Al Livello 32,Auf Lv. 32,在等级32,在等級32,No Nível 32,레벨 32,Lv.32で,Al nivell 32,At Level 32,At Level 32,At Level 32,At Level 32,At Level 32,На 32 Ур.,At Level 32,At Level 32,At Level 32,At Level 32,Vid nivå 32,At Level 32,Ở Cấp 32,Na Poziomie 32
578,DUOSION,,579,REUNICLUS,,At Level 41,Al Nv.41,At Level 41,Au N. 41,Al Livello 41,Auf Lv. 41,在等级41,在等級41,No Nível 41,레벨 41,Lv.41で,Al nivell 41,At Level 41,At Level 41,At Level 41,At Level 41,At Level 41,На 41 Ур.,At Level 41,At Level 41,At Level 41,At Level 41,Vid nivå 41,At Level 41,Ở Cấp 41,Na Poziomie 41
580,DUCKLETT,,581,SWANNA,,At Level 35,Al Nv.35,At Level 35,Au N. 35,Al Livello 35,Auf Lv. 35,在等级35,在等級35,No Nível 35,레벨 35,Lv.35で,Al nivell 35,At Level 35,At Level 35,At Level 35,At Level 35,At Level 35,На 35 Ур.,At Level 35,At Level 35,At Level 35,At Level 35,Vid nivå 35,At Level 35,Ở Cấp 35,Na Poziomie 35
582,VANILLITE,,583,VANILLISH,,At Level 35,Al Nv.35,At Level 35,Au N. 35,Al Livello 35,Auf Lv. 35,在等级35,在等級35,No Nível 35,레벨 35,Lv.35で,Al nivell 35,At Level 35,At Level 35,At Level 35,At Level 35,At Level 35,На 35 Ур.,At Level 35,At Level 35,At Level 35,At Level 35,Vid nivå 35,At Level 35,Ở Cấp 35,Na Poziomie 35
583,VANILLISH,,584,VANILLUXE,,At Level 47,Al Nv.47,At Level 47,Au N. 47,Al Livello 47,Auf Lv. 47,在等级47,在等級47,No Nível 47,레벨 47,Lv.47で,Al nivell 47,At Level 47,At Level 47,At Level 47,At Level 47,At Level 47,На 47 Ур.,At Level 47,At Level 47,At Level 47,At Level 47,Vid nivå 47,At Level 47,Ở Cấp 47,Na Poziomie 47
585,DEERLING,,586,SAWSBUCK,,At Level 34,Al Nv.34,At Level 34,Au N. 34,Al Livello 34,Auf Lv. 34,在等级34,在等級34,No Nível 34,레벨 34,Lv.34で,Al nivell 34,At Level 34,At Level 34,At Level 34,At Level 34,At Level 34,На 34 Ур.,At Level 34,At Level 34,At Level 34,At Level 34,Vid nivå 34,At Level 34,Ở Cấp 34,Na Poziomie 34
588,KARRABLAST,,589,ESCAVALIER,,If Shelmet has been caught|Use the Linking Cord (Great),Si Shelmet ha sido capturado|Usa Cordón Unión (Súper),If Shelmet has been caught|Use the Cordón Unión (Great),Si un Shelmet a été capturé|Avec l’objet Fil de Liaison (Super),Se Shelmet è stato catturato|Con l’oggetto Filo dell’unione(Mega),Wenn Shelmet gefangen wurde|Benötigt Linkkabel (Super),已捕获Shelmet|使用联系绳 (超级球),已捕獲Shelmet|使用聯繫繩 (超級球),Se Shelmet já foi capturado|Use Cabo de Conexão (Super),Shelmet[[가]] 도감에 등록되어 있어야 함|아이템 사용: 연결의끈 (슈퍼),Shelmetが 捕まっていれば|つながりのヒモ (スーパー)を 使う,If Shelmet has been caught|Utilitza l’objecte Linking Cord (Súper),If Shelmet has been caught|Use the Linking Cord (Great),If Shelmet has been caught|Use the Linking Cord (Great),If Shelmet has been caught|Use the Linking Cord (Great),If Shelmet has been caught|Use the Linking Cord (Great),If Shelmet has been caught|Use the Linking Cord (Great),Если Shelmet был(а) пойман(а)|Используйте Соединительный Шнур Мега,If Shelmet has been caught|Use the Linking Cord (Great),If Shelmet has been caught|Use the Linking Cord (Great),If Shelmet has been caught|Use the Linking Cord (Great),If Shelmet has been caught|Use the Linking Cord (Great),Om Shelmet har fångats|Använd förmålet Länkande lina (Super),If Shelmet has been caught|Use the З’єднувальний Шнур (Great),Nếu Shelmet đã được thu phục|Sử dụng vật phẩm Linking Cord (Great),If Shelmet has been caught|Use the Linking Cord (Great)
590,FOONGUS,,591,AMOONGUSS,,At Level 39,Al Nv.39,At Level 39,Au N. 39,Al Livello 39,Auf Lv. 39,在等级39,在等級39,No Nível 39,레벨 39,Lv.39で,Al nivell 39,At Level 39,At Level 39,At Level 39,At Level 39,At Level 39,На 39 Ур.,At Level 39,At Level 39,At Level 39,At Level 39,Vid nivå 39,At Level 39,Ở Cấp 39,Na Poziomie 39
592,FRILLISH,,593,JELLICENT,,At Level 40,Al Nv.40,At Level 40,Au N. 40,Al Livello 40,Auf Lv. 40,在等级40,在等級40,No Nível 40,레벨 40,Lv.40で,Al nivell 40,At Level 40,At Level 40,At Level 40,At Level 40,At Level 40,На 40 Ур.,At Level 40,At Level 40,At Level 40,At Level 40,Vid nivå 40,At Level 40,Ở Cấp 40,Na Poziomie 40
595,JOLTIK,,596,GALVANTULA,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
597,FERROSEED,,598,FERROTHORN,,At Level 40,Al Nv.40,At Level 40,Au N. 40,Al Livello 40,Auf Lv. 40,在等级40,在等級40,No Nível 40,레벨 40,Lv.40で,Al nivell 40,At Level 40,At Level 40,At Level 40,At Level 40,At Level 40,На 40 Ур.,At Level 40,At Level 40,At Level 40,At Level 40,Vid nivå 40,At Level 40,Ở Cấp 40,Na Poziomie 40
599,KLINK,,600,KLANG,,At Level 38,Al Nv.38,At Level 38,Au N. 38,Al Livello 38,Auf Lv. 38,在等级38,在等級38,No Nível 38,레벨 38,Lv.38で,Al nivell 38,At Level 38,At Level 38,At Level 38,At Level 38,At Level 38,На 38 Ур.,At Level 38,At Level 38,At Level 38,At Level 38,Vid nivå 38,At Level 38,Ở Cấp 38,Na Poziomie 38
600,KLANG,,601,KLINKLANG,,At Level 49,Al Nv.49,At Level 49,Au N. 49,Al Livello 49,Auf Lv. 49,在等级49,在等級49,No Nível 49,레벨 49,Lv.49で,Al nivell 49,At Level 49,At Level 49,At Level 49,At Level 49,At Level 49,На 49 Ур.,At Level 49,At Level 49,At Level 49,At Level 49,Vid nivå 49,At Level 49,Ở Cấp 49,Na Poziomie 49
