dexNum,speciesId,preFormKey,evoFormKey,en,es-ES,es-419,fr,de,it,pr-BR,ko,ja,zh-Hans,zh-Hant,th,ca,eu,tr,ru,uk,pl,id,hi,vi,da,sv,tl
646,KYUREM,white,,Deactivating Light Stone,Desactivando Orbe Claro,Deactivating Orbe Claro,Avec l’objet Galet Blanc désactivé,Lichtstein deaktivieren,Disattivando Chiarolite,Deactivating Light Stone,라이트스톤[[를]] 통해 비활성화,ライトストーンを 無効に すれば,禁用了光明石,禁用了光明石,Deactivating Light Stone,Desactivant Light Stone,Deactivating Light Stone,Deactivating Light Stone,Деактивация Камень Света,Deactivating Light Stone,Dezaktywując: Light Stone,Deactivating Light Stone,Deactivating Light Stone,Vô Hiệu Hoá Quang Thạch,Deactivating Light Stone,Vid avaktivering av Vithetens sten,Deactivating Light Stone
647,KELDEO,ordinary,resolute,By learning Secret Sword,Aprendiendo el movimiento Sable Místico,By learning Espada Secreta,En apprenant Lame Ointe,Durch das erlenen von Mystoschwert,Imparando la mossa Spadamistica,By learning Secret Sword,신비의칼[[를]] 배우고 있는 경우,「しんぴのつるぎ」を 覚える ことにより,学会神秘之剑后,學會神祕之劍後,By learning Secret Sword,By learning Secret Sword,By learning Secret Sword,By learning Secret Sword,Изучив Secret Sword,By learning Secret Sword,Po nauczeniu się ataku Secret Sword,By learning Pedang Mistis,By learning सीक्रेट स्वॉर्ड,Bằng cách học chiêu thức Secret Sword,By learning Secret Sword,Genom att lära sig Enigmatisk egg,By learning Secret Sword
647,KELDEO,resolute,ordinary,By forgetting Secret Sword,Olvidando el movimiento Sable Místico,By forgetting Espada Secreta,En oubliant Lame Ointe,Durch das Vergessen von Mystoschwert,Dimenticando la mossa Spadamistica,By forgetting Secret Sword,신비의칼[[를]] 잊은 경우,「しんぴのつるぎ」を 忘れる ことにより,忘记神秘之剑后,忘記神祕之劍後,By forgetting Secret Sword,By forgetting Secret Sword,By forgetting Secret Sword,By forgetting Secret Sword,Забыв Secret Sword,By forgetting Secret Sword,Po zapomnieniu ataku Secret Sword,By forgetting Pedang Mistis,By forgetting सीक्रेट स्वॉर्ड,Bằng cách quên đi chiêu thức Secret Sword,By forgetting Secret Sword,Genom att glömma Enigmatisk egg,By forgetting Secret Sword
648,MELOETTA,aria,pirouette,After using certain moves,Después de usar algunos movimientos,After using certain moves,Après l’utilisation d’une certaine capacité,Nach dem Einsatz bestimmter Attacken,Dopo aver usato una certa mossa,After using certain moves,특정 기술을 사용한 후,特定の 技を 出す後,使用特定招式后,使用特定招式後,After using certain moves,After using certain moves,After using certain moves,After using certain moves,После использования определённых приёмов,After using certain moves,Po użyciu danych ataków,After using certain moves,After using certain moves,Sau khi sử dụng chiêu thức nhất định,After using certain moves,Efter att den använt särskilda tekniker,After using certain moves
648,MELOETTA,pirouette,aria,After using certain moves,Después de usar algunos movimientos,After using certain moves,Après l’utilisation d’une certaine capacité,Nach dem Einsatz bestimmter Attacken,Dopo aver usato una certa mossa,After using certain moves,특정 기술을 사용한 후,特定の 技を 出す後,使用特定招式后,使用特定招式後,After using certain moves,After using certain moves,After using certain moves,After using certain moves,После использования определённых приёмов,After using certain moves,Po użyciu danych ataków,After using certain moves,After using certain moves,Sau khi sử dụng chiêu thức nhất định,After using certain moves,Efter att den använt särskilda tekniker,After using certain moves
649,GENESECT,,shock,Activating Shock Drive,Activando FulgoROM,Activating FulgoROM,Avec l’objet Module Choc activé,Blitzmodul aktivieren,Attivando Voltmodulo,Activating Shock Drive,번개카세트[[를]] 통해 폼체인지,イナズマカセットを 有効に すれば,激活了闪电卡带,活化了閃電卡帶,Activating Shock Drive,Activant Shock Drive,Activating Shock Drive,Activating Şok Sürücüsü,Активация Шоковый Привод,Activating Shock Drive,Aktywując: Shock Drive,Activating Shock Drive,Activating शॉक कैसेट,Kích hoạt Đĩa Điện,Activating Shock Drive,Vid aktivering av Åskassett,Activating Shock Drive
649,GENESECT,,burn,Activating Burn Drive,Activando PiroROM,Activating PiroROM,Avec l’objet Module Pyro activé,Flammenmodul aktivieren,Attivando Piromodulo,Activating Burn Drive,블레이즈카세트[[를]] 통해 폼체인지,ブレイズカセットを 有効に すれば,激活了火焰卡带,活化了火焰卡帶,Activating Burn Drive,Activant Burn Drive,Activating Burn Drive,Activating Ateş Sürücüsü,Активация Обжигающий Привод,Activating Burn Drive,Aktywując: Burn Drive,Activating Burn Drive,Activating बर्न कैसेट,Kích hoạt Đĩa Lửa,Activating Burn Drive,Vid aktivering av Flamkassett,Activating Burn Drive
649,GENESECT,,chill,Activating Chill Drive,Activando CrioROM,Activating CrioROM,Avec l’objet Module Cryo activé,Gefriermodul aktivieren,Attivando Gelomodulo,Activating Chill Drive,프리즈카세트[[를]] 통해 폼체인지,フリーズカセットを 有効に すれば,激活了冰冻卡带,活化了冰凍卡帶,Activating Chill Drive,Activant Chill Drive,Activating Chill Drive,Activating Buz Sürücüsü,Активация Охлаждающий Привод,Activating Chill Drive,Aktywując: Chill Drive,Activating Chill Drive,Activating फ़्रीज़ कैसेट,Kích hoạt Đĩa Băng,Activating Chill Drive,Vid aktivering av Frostkassett,Activating Chill Drive
649,GENESECT,,douse,Activating Douse Drive,Activando HidroROM,Activating HidroROM,Avec l’objet Module Aqua activé,Aquamodul aktivieren,Attivando Idromodulo,Activating Douse Drive,아쿠아카세트[[를]] 통해 폼체인지,アクアカセットを 有効に すれば,激活了水流卡带,活化了水流卡帶,Activating Douse Drive,Activant Douse Drive,Activating Douse Drive,Activating Su Sürücüsü,Активация Погашающий Привод,Activating Douse Drive,Aktywując: Douse Drive,Activating Douse Drive,Activating ऐक्वा कैसेट,Kích hoạt Đĩa Thủy,Activating Douse Drive,Vid aktivering av Akvakassett,Activating Douse Drive
649,GENESECT,shock,,Deactivating Shock Drive,Desactivando FulgoROM,Deactivating FulgoROM,Avec l’objet Module Choc désactivé,Blitzmodul deaktivieren,Disattivando Voltmodulo,Deactivating Shock Drive,번개카세트[[를]] 통해 비활성화,イナズマカセットを 無効に すれば,禁用了闪电卡带,禁用了閃電卡帶,Deactivating Shock Drive,Desactivant Shock Drive,Deactivating Shock Drive,Deactivating Şok Sürücüsü,Деактивация Шоковый Привод,Deactivating Shock Drive,Dezaktywując: Shock Drive,Deactivating Shock Drive,Deactivating शॉक कैसेट,Vô Hiệu Hoá Đĩa Điện,Deactivating Shock Drive,Vid avaktivering av Åskassett,Deactivating Shock Drive
649,GENESECT,burn,,Deactivating Burn Drive,Desactivando PiroROM,Deactivating PiroROM,Avec l’objet Module Pyro désactivé,Flammenmodul deaktivieren,Disattivando Piromodulo,Deactivating Burn Drive,블레이즈카세트[[를]] 통해 비활성화,ブレイズカセットを 無効に すれば,禁用了火焰卡带,禁用了火焰卡帶,Deactivating Burn Drive,Desactivant Burn Drive,Deactivating Burn Drive,Deactivating Ateş Sürücüsü,Деактивация Обжигающий Привод,Deactivating Burn Drive,Dezaktywując: Burn Drive,Deactivating Burn Drive,Deactivating बर्न कैसेट,Vô Hiệu Hoá Đĩa Lửa,Deactivating Burn Drive,Vid avaktivering av Flamkassett,Deactivating Burn Drive
649,GENESECT,chill,,Deactivating Chill Drive,Desactivando CrioROM,Deactivating CrioROM,Avec l’objet Module Cryo désactivé,Gefriermodul deaktivieren,Disattivando Gelomodulo,Deactivating Chill Drive,프리즈카세트[[를]] 통해 비활성화,フリーズカセットを 無効に すれば,禁用了冰冻卡带,禁用了冰凍卡帶,Deactivating Chill Drive,Desactivant Chill Drive,Deactivating Chill Drive,Deactivating Buz Sürücüsü,Деактивация Охлаждающий Привод,Deactivating Chill Drive,Dezaktywując: Chill Drive,Deactivating Chill Drive,Deactivating फ़्रीज़ कैसेट,Vô Hiệu Hoá Đĩa Băng,Deactivating Chill Drive,Vid avaktivering av Frostkassett,Deactivating Chill Drive
649,GENESECT,douse,,Deactivating Douse Drive,Desactivando HidroROM,Deactivating HidroROM,Avec l’objet Module Aqua désactivé,Aquamodul deaktivieren,Disattivando Idromodulo,Deactivating Douse Drive,아쿠아카세트[[를]] 통해 비활성화,アクアカセットを 無効に すれば,禁用了水流卡带,禁用了水流卡帶,Deactivating Douse Drive,Desactivant Douse Drive,Deactivating Douse Drive,Deactivating Su Sürücüsü,Деактивация Погашающий Привод,Deactivating Douse Drive,Dezaktywując: Douse Drive,Deactivating Douse Drive,Deactivating ऐक्वा कैसेट,Vô Hiệu Hoá Đĩa Thủy,Deactivating Douse Drive,Vid avaktivering av Akvakassett,Deactivating Douse Drive
652,CHESNAUGHT,,mega,Activating Chesnaughtite,Activando Chesnaughtita,Activating Chesnaughtita,Avec l’objet Blindépiquite activé,Brigaronit aktivieren,Attivando Chesnaughtite,Activating Chesnaughtite,브리가론나이트[[를]] 통해 폼체인지,ブリガロナイトを 有効に すれば,激活了布里卡隆进化石,活化了布里卡隆進化石,Activating Chesnaughtite,Activant Chesnaughtite,Activating Chesnaughtite,Activating Chesnaughtite,Активация Чеснотит,Activating Chesnaughtite,Aktywując: Chenaughtyt,Activating Chesnaughtite,Activating Chesnaughtite,Kích hoạt Chesnaughtite,Activating Chesnaughtite,Vid aktivering av Chesnaughtit,Activating Chesnaughtite
652,CHESNAUGHT,mega,,Deactivating Chesnaughtite,Desactivando Chesnaughtita,Deactivating Chesnaughtita,Avec l’objet Blindépiquite désactivé,Brigaronit deaktivieren,Disattivando Chesnaughtite,Deactivating Chesnaughtite,브리가론나이트[[를]] 통해 비활성화,ブリガロナイトを 無効に すれば,禁用了布里卡隆进化石,禁用了布里卡隆進化石,Deactivating Chesnaughtite,Desactivant Chesnaughtite,Deactivating Chesnaughtite,Deactivating Chesnaughtite,Деактивация Чеснотит,Deactivating Chesnaughtite,Dezaktywując: Chenaughtyt,Deactivating Chesnaughtite,Deactivating Chesnaughtite,Vô Hiệu Hoá Chesnaughtite,Deactivating Chesnaughtite,Vid avaktivering av Chesnaughtit,Deactivating Chesnaughtite
655,DELPHOX,,mega,Activating Delphoxite,Activando Delphoxita,Activating Delphoxita,Avec l’objet Goupelinite activé,Fennexisnit aktivieren,Attivando Delphoxite,Activating Delphoxite,마폭시나이트[[를]] 통해 폼체인지,マフォクシナイトを 有効に すれば,激活了妖火红狐进化石,活化了妖火紅狐進化石,Activating Delphoxite,Activant Delphoxite,Activating Delphoxite,Activating Delphoxite,Активация Делфоксит,Activating Delphoxite,Aktywując: Delphoxyt,Activating Delphoxite,Activating Delphoxite,Kích hoạt Delphoxite,Activating Delphoxite,Vid aktivering av Delphoxit,Activating Delphoxite
655,DELPHOX,mega,,Deactivating Delphoxite,Desactivando Delphoxita,Deactivating Delphoxita,Avec l’objet Goupelinite désactivé,Fennexisnit deaktivieren,Disattivando Delphoxite,Deactivating Delphoxite,마폭시나이트[[를]] 통해 비활성화,マフォクシナイトを 無効に すれば,禁用了妖火红狐进化石,禁用了妖火紅狐進化石,Deactivating Delphoxite,Desactivant Delphoxite,Deactivating Delphoxite,Deactivating Delphoxite,Деактивация Делфоксит,Deactivating Delphoxite,Dezaktywując: Delphoxyt,Deactivating Delphoxite,Deactivating Delphoxite,Vô Hiệu Hoá Delphoxite,Deactivating Delphoxite,Vid avaktivering av Delphoxit,Deactivating Delphoxite
658,GRENINJA,,mega,Activating Greninjite,Activando Greninjanita,Activating Greninjanita,Avec l’objet Amphinolite activé,Quajutsunit aktivieren,Attivando Greninjite,Activating Greninjite,개굴닌자나이트[[를]] 통해 폼체인지,ゲッコウガナイトを 有効に すれば,激活了甲贺忍蛙进化石,活化了甲賀忍蛙進化石,Activating Greninjite,Activant Greninjite,Activating Greninjite,Activating Greninjite,Активация Гренинжит,Activating Greninjite,Aktywując: Greninjyt,Activating Greninjite,Activating Greninjite,Kích hoạt Greninjite,Activating Greninjite,Vid aktivering av Greninjit,Activating Greninjite
658,GRENINJA,mega,,Deactivating Greninjite,Desactivando Greninjanita,Deactivating Greninjanita,Avec l’objet Amphinolite désactivé,Quajutsunit deaktivieren,Disattivando Greninjite,Deactivating Greninjite,개굴닌자나이트[[를]] 통해 비활성화,ゲッコウガナイトを 無効に すれば,禁用了甲贺忍蛙进化石,禁用了甲賀忍蛙進化石,Deactivating Greninjite,Desactivant Greninjite,Deactivating Greninjite,Deactivating Greninjite,Деактивация Гренинжит,Deactivating Greninjite,Dezaktywując: Greninjyt,Deactivating Greninjite,Deactivating Greninjite,Vô Hiệu Hoá Greninjite,Deactivating Greninjite,Vid avaktivering av Greninjit,Deactivating Greninjite
668,PYROAR,,mega,Activating Pyroarite,Activando Pyroarita,Activating Pyroarita,Avec l’objet Néméliosite activé,Pyroleonit aktivieren,Attivando Pyroarite,Activating Pyroarite,화염레오나이트[[를]] 통해 폼체인지,カエンジシナイトを 有効に すれば,激活了火炎狮进化石,活化了火炎獅進化石,Activating Pyroarite,Activant Pyroarite,Activating Pyroarite,Activating Pyroarite,Активация Пироарит,Activating Pyroarite,Aktywując: Pyroaryt,Activating Pyroarite,Activating Pyroarite,Kích hoạt Pyroarite,Activating Pyroarite,Vid aktivering av Pyroarit,Activating Pyroarite
668,PYROAR,mega,,Deactivating Pyroarite,Desactivando Pyroarita,Deactivating Pyroarita,Avec l’objet Néméliosite désactivé,Pyroleonit deaktivieren,Disattivando Pyroarite,Deactivating Pyroarite,화염레오나이트[[를]] 통해 비활성화,カエンジシナイトを 無効に すれば,禁用了火炎狮进化石,禁用了火炎獅進化石,Deactivating Pyroarite,Desactivant Pyroarite,Deactivating Pyroarite,Deactivating Pyroarite,Деактивация Пироарит,Deactivating Pyroarite,Dezaktywując: Pyroaryt,Deactivating Pyroarite,Deactivating Pyroarite,Vô Hiệu Hoá Pyroarite,Deactivating Pyroarite,Vid avaktivering av Pyroarit,Deactivating Pyroarite
678,MEOWSTIC,male,mega,Activating Meowsticite,Activando Meowsticita,Activating Meowsticita,Avec l’objet Mistigrixite activé,Psiaugonit aktivieren,Attivando Meowsticite,Activating Meowsticite,냐오닉스나이트[[를]] 통해 폼체인지,ニャオニクスナイトを 有効に すれば,激活了超能妙喵进化石,活化了超能妙喵進化石,Activating Meowsticite,Activant Meowsticite,Activating Meowsticite,Activating Meowsticite,Активация Мяустикит,Activating Meowsticite,Aktywując: Meowstictyt,Activating Meowsticite,Activating Meowsticite,Kích hoạt Meowsticite,Activating Meowsticite,Vid aktivering av Meowsticit,Activating Meowsticite
678,MEOWSTIC,female,mega,Activating Meowsticite,Activando Meowsticita,Activating Meowsticita,Avec l’objet Mistigrixite activé,Psiaugonit aktivieren,Attivando Meowsticite,Activating Meowsticite,냐오닉스나이트[[를]] 통해 폼체인지,ニャオニクスナイトを 有効に すれば,激活了超能妙喵进化石,活化了超能妙喵進化石,Activating Meowsticite,Activant Meowsticite,Activating Meowsticite,Activating Meowsticite,Активация Мяустикит,Activating Meowsticite,Aktywując: Meowstictyt,Activating Meowsticite,Activating Meowsticite,Kích hoạt Meowsticite,Activating Meowsticite,Vid aktivering av Meowsticit,Activating Meowsticite
678,MEOWSTIC,mega,male,Deactivating Meowsticite,Desactivando Meowsticita,Deactivating Meowsticita,Avec l’objet Mistigrixite désactivé,Psiaugonit deaktivieren,Disattivando Meowsticite,Deactivating Meowsticite,냐오닉스나이트[[를]] 통해 비활성화,ニャオニクスナイトを 無効に すれば,禁用了超能妙喵进化石,禁用了超能妙喵進化石,Deactivating Meowsticite,Desactivant Meowsticite,Deactivating Meowsticite,Deactivating Meowsticite,Деактивация Мяустикит,Deactivating Meowsticite,Dezaktywując: Meowstictyt,Deactivating Meowsticite,Deactivating Meowsticite,Vô Hiệu Hoá Meowsticite,Deactivating Meowsticite,Vid avaktivering av Meowsticit,Deactivating Meowsticite
678,MEOWSTIC,mega,female,Deactivating Meowsticite,Desactivando Meowsticita,Deactivating Meowsticita,Avec l’objet Mistigrixite désactivé,Psiaugonit deaktivieren,Disattivando Meowsticite,Deactivating Meowsticite,냐오닉스나이트[[를]] 통해 비활성화,ニャオニクスナイトを 無効に すれば,禁用了超能妙喵进化石,禁用了超能妙喵進化石,Deactivating Meowsticite,Desactivant Meowsticite,Deactivating Meowsticite,Deactivating Meowsticite,Деактивация Мяустикит,Deactivating Meowsticite,Dezaktywując: Meowstictyt,Deactivating Meowsticite,Deactivating Meowsticite,Vô Hiệu Hoá Meowsticite,Deactivating Meowsticite,Vid avaktivering av Meowsticit,Deactivating Meowsticite
681,AEGISLASH,blade,shield,Before using certain moves,Antes de usar algunos movimientos,Before using certain moves,Avant d’utiliser une certaine capacité,Vor dem Einsatz bestimmter Attacken,Prima di usare una certa mossa,Before using certain moves,특정 기술을 사용한 후,特定の 技を 出す前,使用特定招式前,使用特定招式前,Before using certain moves,Before using certain moves,Before using certain moves,Before using certain moves,Перед использованием определённых приёмов,Before using certain moves,Przed użyciem danych ataków,Before using certain moves,Before using certain moves,Trước khi dùng một chiêu thức nhất định,Before using certain moves,Innan den använder särskilda tekniker,Before using certain moves
681,AEGISLASH,shield,blade,Before using certain moves,Antes de usar algunos movimientos,Before using certain moves,Avant d’utiliser une certaine capacité,Vor dem Einsatz bestimmter Attacken,Prima di usare una certa mossa,Before using certain moves,특정 기술을 사용한 후,特定の 技を 出す前,使用特定招式前,使用特定招式前,Before using certain moves,Before using certain moves,Before using certain moves,Before using certain moves,Перед использованием определённых приёмов,Before using certain moves,Przed użyciem danych ataków,Before using certain moves,Before using certain moves,Trước khi dùng một chiêu thức nhất định,Before using certain moves,Innan den använder särskilda tekniker,Before using certain moves
681,AEGISLASH,blade,shield,After leaving the field,Después de dejar el combate,After leaving the field,Après avoir quitté le terrain,Beim Verlassen des Kampfs,Quando lascia il campo,After leaving the field,볼에 들어간 경우,場から 引っ込んだ後,离开对战场地后,離開對戰場地後,After leaving the field,Després de sortir del camp de batalla,After leaving the field,After leaving the field,После ухода с поля,After leaving the field,Po opuszczeniu pola bitwy,After leaving the field,After leaving the field,Khi rời sàn đấu,After leaving the field,När den har bytts av,After leaving the field
687,MALAMAR,,mega,Activating Malamarite,Activando Malamarita,Activating Malamarita,Avec l’objet Sepiatrocite activé,Calamaneronit aktivieren,Attivando Malamarite,Activating Malamarite,칼라마네로나이트[[를]] 통해 폼체인지,カラマネナイトを 有効に すれば,激活了乌贼王进化石,活化了烏賊王進化石,Activating Malamarite,Activant Malamarite,Activating Malamarite,Activating Malamarite,Активация Маламарит,Activating Malamarite,Aktywując: Malamaryt,Activating Malamarite,Activating Malamarite,Kích hoạt Malamarite,Activating Malamarite,Vid aktivering av Malamarit,Activating Malamarite
687,MALAMAR,mega,,Deactivating Malamarite,Desactivando Malamarita,Deactivating Malamarita,Avec l’objet Sepiatrocite désactivé,Calamaneronit deaktivieren,Disattivando Malamarite,Deactivating Malamarite,칼라마네로나이트[[를]] 통해 비활성화,カラマネナイトを 無効に すれば,禁用了乌贼王进化石,禁用了烏賊王進化石,Deactivating Malamarite,Desactivant Malamarite,Deactivating Malamarite,Deactivating Malamarite,Деактивация Маламарит,Deactivating Malamarite,Dezaktywując: Malamaryt,Deactivating Malamarite,Deactivating Malamarite,Vô Hiệu Hoá Malamarite,Deactivating Malamarite,Vid avaktivering av Malamarit,Deactivating Malamarite
689,BARBARACLE,,mega,Activating Barbaracite,Activando Barbaraclita,Activating Barbaraclita,Avec l’objet Golgopathite activé,Thanathoranit aktivieren,Attivando Barbaraclite,Activating Barbaracite,거북손데스나이트[[를]] 통해 폼체인지,ガメノデスナイトを 有効に すれば,激活了龟足巨铠进化石,活化了龜足巨鎧進化石,Activating Barbaracite,Activant Barbaracite,Activating Barbaracite,Activating Barbaracite,Активация Барберакит,Activating Barbaracite,Aktywując: Barbaracyt,Activating Barbaracite,Activating Barbaracite,Kích hoạt Barbaracite,Activating Barbaracite,Vid aktivering av Barbaracit,Activating Barbaracite
689,BARBARACLE,mega,,Deactivating Barbaracite,Desactivando Barbaraclita,Deactivating Barbaraclita,Avec l’objet Golgopathite désactivé,Thanathoranit deaktivieren,Disattivando Barbaraclite,Deactivating Barbaracite,거북손데스나이트[[를]] 통해 비활성화,ガメノデスナイトを 無効に すれば,禁用了龟足巨铠进化石,禁用了龜足巨鎧進化石,Deactivating Barbaracite,Desactivant Barbaracite,Deactivating Barbaracite,Deactivating Barbaracite,Деактивация Барберакит,Deactivating Barbaracite,Dezaktywując: Barbaracyt,Deactivating Barbaracite,Deactivating Barbaracite,Vô Hiệu Hoá Barbaracite,Deactivating Barbaracite,Vid avaktivering av Barbaracit,Deactivating Barbaracite
691,DRAGALGE,,mega,Activating Dragalgite,Activando Dragalgita,Activating Dragalgita,Avec l’objet Kravarekite activé,Tandraknit aktivieren,Attivando Dragalgite,Activating Dragalgite,드래캄나이트[[를]] 통해 폼체인지,ドラミドナイトを 有効に すれば,激活了毒藻龙进化石,活化了毒藻龍進化石,Activating Dragalgite,Activant Dragalgite,Activating Dragalgite,Activating Dragalgite,Активация Драгалджит,Activating Dragalgite,Aktywując: Dragalgit,Activating Dragalgite,Activating Dragalgite,Kích hoạt Dragalgite,Activating Dragalgite,Vid aktivering av Dragalgit,Activating Dragalgite
691,DRAGALGE,mega,,Deactivating Dragalgite,Desactivando Dragalgita,Deactivating Dragalgita,Avec l’objet Kravarekite désactivé,Tandraknit deaktivieren,Disattivando Dragalgite,Deactivating Dragalgite,드래캄나이트[[를]] 통해 비활성화,ドラミドナイトを 無効に すれば,禁用了毒藻龙进化石,禁用了毒藻龍進化石,Deactivating Dragalgite,Desactivant Dragalgite,Deactivating Dragalgite,Deactivating Dragalgite,Деактивация Драгалджит,Deactivating Dragalgite,Dezaktywując: Dragalgit,Deactivating Dragalgite,Deactivating Dragalgite,Vô Hiệu Hoá Dragalgite,Deactivating Dragalgite,Vid avaktivering av Dragalgit,Deactivating Dragalgite
701,HAWLUCHA,,mega,Activating Hawluchanite,Activando Hawluchanita,Activating Hawluchanita,Avec l’objet Brutalibrite activé,Resladeronit aktivieren,Attivando Hawluchite,Activating Hawluchanite,루차불나이트[[를]] 통해 폼체인지,ルチャブルナイトを 有効に すれば,激活了摔角鹰人进化石,活化了摔角鷹人進化石,Activating Hawluchanite,Activant Hawluchanite,Activating Hawluchanite,Activating Hawluchanite,Активация Хавлучанит,Activating Hawluchanite,Aktywując: Hawluchanit,Activating Hawluchanite,Activating Hawluchanite,Kích hoạt Hawluchanite,Activating Hawluchanite,Vid aktivering av Hawluchanit,Activating Hawluchanite
701,HAWLUCHA,mega,,Deactivating Hawluchanite,Desactivando Hawluchanita,Deactivating Hawluchanita,Avec l’objet Brutalibrite désactivé,Resladeronit deaktivieren,Disattivando Hawluchite,Deactivating Hawluchanite,루차불나이트[[를]] 통해 비활성화,ルチャブルナイトを 無効に すれば,禁用了摔角鹰人进化石,禁用了摔角鷹人進化石,Deactivating Hawluchanite,Desactivant Hawluchanite,Deactivating Hawluchanite,Deactivating Hawluchanite,Деактивация Хавлучанит,Deactivating Hawluchanite,Dezaktywując: Hawluchanit,Deactivating Hawluchanite,Deactivating Hawluchanite,Vô Hiệu Hoá Hawluchanite,Deactivating Hawluchanite,Vid avaktivering av Hawluchanit,Deactivating Hawluchanite
716,XERNEAS,neutral,active,After entering the field,Después de entrar al combate,After entering the field,Une fois entré sur le terrain,Beim Kampfantritt,Quando entra in campo,After entering the field,볼에서 나온 경우,場に 入った後,进入对战场地后,進入對戰場地後,After entering the field,Després d’entrar al camp de batalla,After entering the field,After entering the field,После выхода на поле,After entering the field,Po wyjściu na pole bitwy,After entering the field,After entering the field,Khi vào sàn đấu,After entering the field,När den skickats ut i strid,After entering the field
716,XERNEAS,active,neutral,After leaving the field,Después de dejar el combate,After leaving the field,Après avoir quitté le terrain,Beim Verlassen des Kampfs,Quando lascia il campo,After leaving the field,볼에 들어간 경우,場から 引っ込んだ後,离开对战场地后,離開對戰場地後,After leaving the field,Després de sortir del camp de batalla,After leaving the field,After leaving the field,После ухода с поля,After leaving the field,Po opuszczeniu pola bitwy,After leaving the field,After leaving the field,Khi rời sàn đấu,After leaving the field,När den har bytts av,After leaving the field
718,ZYGARDE,50-pc,complete,Due to its ability,Debido a su habilidad,Due to its ability,Due à son talent,Durch seine Fähigkeit,Tramite la sua abilità,Due to its ability,특성을 통해 폼체인지,特性により,由于其特性,由於其特性,Due to its ability,A causa de la seva habilitat,Due to its ability,Due to its ability,Из-за его способности,Due to its ability,Due to its ability,Due to its ability,Due to its ability,Bởi đặc tính của nó,Due to its ability,På grund av dess särdrag,Due to its ability
718,ZYGARDE,complete,50-pc,Due to its ability,Debido a su habilidad,Due to its ability,Due à son talent,Durch seine Fähigkeit,Tramite la sua abilità,Due to its ability,특성을 통해 폼체인지,特性により,由于其特性,由於其特性,Due to its ability,A causa de la seva habilitat,Due to its ability,Due to its ability,Из-за его способности,Due to its ability,Due to its ability,Due to its ability,Due to its ability,Bởi đặc tính của nó,Due to its ability,På grund av dess särdrag,Due to its ability
718,ZYGARDE,10-pc,10-complete,Due to its ability,Debido a su habilidad,Due to its ability,Due à son talent,Durch seine Fähigkeit,Tramite la sua abilità,Due to its ability,특성을 통해 폼체인지,特性により,由于其特性,由於其特性,Due to its ability,A causa de la seva habilitat,Due to its ability,Due to its ability,Из-за его способности,Due to its ability,Due to its ability,Due to its ability,Due to its ability,Bởi đặc tính của nó,Due to its ability,På grund av dess särdrag,Due to its ability
718,ZYGARDE,10-complete,10-pc,Due to its ability,Debido a su habilidad,Due to its ability,Due à son talent,Durch seine Fähigkeit,Tramite la sua abilità,Due to its ability,특성을 통해 폼체인지,特性により,由于其特性,由於其特性,Due to its ability,A causa de la seva habilitat,Due to its ability,Due to its ability,Из-за его способности,Due to its ability,Due to its ability,Due to its ability,Due to its ability,Bởi đặc tính của nó,Due to its ability,På grund av dess särdrag,Due to its ability
718,ZYGARDE,complete,mega,Activating Zygardite,Activando Zygardita,Activating Zygardita,Avec l’objet Zygardite activé,Zygardeni aktivieren,Attivando Zygardite,Activating Zygardite,지가르데나이트[[를]] 통해 폼체인지,ジガルデナイトを 有効に すれば,激活了基格尔德进化石,活化了基格爾德進化石,Activating Zygardite,Activant Zygardite,Activating Zygardite,Activating Zygardite,Активация Зайгардит,Activating Zygardite,Aktywując: Zygardyt,Activating Zygardite,Activating Zygardite,Kích hoạt Zygardite,Activating Zygardite,Vid aktivering av Zygardit,Activating Zygardite
718,ZYGARDE,10-complete,mega,Activating Zygardite,Activando Zygardita,Activating Zygardita,Avec l’objet Zygardite activé,Zygardeni aktivieren,Attivando Zygardite,Activating Zygardite,지가르데나이트[[를]] 통해 폼체인지,ジガルデナイトを 有効に すれば,激活了基格尔德进化石,活化了基格爾德進化石,Activating Zygardite,Activant Zygardite,Activating Zygardite,Activating Zygardite,Активация Зайгардит,Activating Zygardite,Aktywując: Zygardyt,Activating Zygardite,Activating Zygardite,Kích hoạt Zygardite,Activating Zygardite,Vid aktivering av Zygardit,Activating Zygardite
718,ZYGARDE,mega,complete,Deactivating Zygardite,Desactivando Zygardita,Deactivating Zygardita,Avec l’objet Zygardite désactivé,Zygardeni deaktivieren,Disattivando Zygardite,Deactivating Zygardite,지가르데나이트[[를]] 통해 비활성화,ジガルデナイトを 無効に すれば,禁用了基格尔德进化石,禁用了基格爾德進化石,Deactivating Zygardite,Desactivant Zygardite,Deactivating Zygardite,Deactivating Zygardite,Деактивация Зайгардит,Deactivating Zygardite,Dezaktywując: Zygardyt,Deactivating Zygardite,Deactivating Zygardite,Vô Hiệu Hoá Zygardite,Deactivating Zygardite,Vid avaktivering av Zygardit,Deactivating Zygardite
